year,round,event_name,location,country,n_starters,n_classified,n_dnf,n_laps,total_abs_pos_change,mean_abs_pos_change,max_pos_gained,pos_change_std,n_pit_stops,n_compounds_used,avg_air_temp,avg_track_temp,avg_humidity,avg_wind_speed,rain_pct,any_rain,circuit_length_km,circuit_turns,circuit_type,pit_stops_per_driver,high_action
2023,2,Saudi Arabian Grand Prix,Jeddah,Saudi Arabia,20,20,2,50,76.0,3.8,13.0,5.53,25,3,26.1,31.8,57.8,1.8,0.0,False,6.174,27,street,1.25,0
2023,3,Australian Grand Prix,Melbourne,Australia,20,20,8,58,114.0,5.7,15.0,7.67,65,3,17.4,30.1,54.2,1.1,0.0,False,5.278,14,street,3.25,1
2023,4,Azerbaijan Grand Prix,Baku,Azerbaijan,20,20,2,51,44.0,2.2,4.0,2.6,24,3,24.9,41.2,49.2,1.1,0.0,False,6.003,20,street,1.2,0
2023,5,Miami Grand Prix,Miami,United States,20,20,0,57,58.0,2.9,8.0,3.85,20,3,27.1,36.7,59.4,4.0,0.0,False,5.412,19,semi-permanent,1.0,0
2023,6,Monaco Grand Prix,Monaco,Monaco,20,20,2,78,42.0,2.1,6.0,3.06,38,5,25.1,39.3,45.9,1.0,0.148,True,3.337,19,street,1.9,0
2023,7,Spanish Grand Prix,Barcelona,Spain,20,20,0,66,72.0,3.6,9.0,5.27,43,3,22.7,33.8,63.1,1.9,0.0,False,4.675,16,permanent,2.15,0
2023,8,Canadian Grand Prix,Montréal,Canada,20,20,2,70,86.0,4.3,7.0,5.72,34,4,18.5,30.6,63.9,1.9,0.0,False,4.361,14,semi-permanent,1.7,1
2023,9,Austrian Grand Prix,Spielberg,Austria,20,20,1,71,64.0,3.2,12.0,4.7,63,3,22.4,32.1,52.0,1.1,0.02,True,4.318,10,permanent,3.15,0
2023,10,British Grand Prix,Silverstone,Great Britain,20,20,3,52,60.0,3.0,9.0,4.3,26,3,21.5,30.9,56.2,3.0,0.0,False,5.891,18,permanent,1.3,0
2023,11,Hungarian Grand Prix,Budapest,Hungary,20,20,3,70,76.0,3.8,12.0,5.09,39,3,28.8,48.6,32.8,1.4,0.0,False,4.381,14,permanent,1.95,0
2023,12,Belgian Grand Prix,Spa-Francorchamps,Belgium,20,20,2,44,66.0,3.3,6.0,5.49,38,3,17.9,28.2,61.9,1.6,0.073,True,7.004,19,permanent,1.9,0
2023,13,Dutch Grand Prix,Zandvoort,Netherlands,20,19,3,72,90.0,4.74,9.0,6.2,102,5,16.8,24.9,70.8,2.8,0.23,True,4.259,14,permanent,5.1,1
2023,14,Italian Grand Prix,Monza,Italy,20,20,2,51,48.0,2.4,4.0,3.18,26,2,29.3,42.9,42.3,1.1,0.0,False,5.793,11,permanent,1.3,0
2023,15,Singapore Grand Prix,Marina Bay,Singapore,20,19,5,62,92.0,4.84,10.0,6.19,25,3,29.8,36.4,72.0,1.4,0.0,False,4.94,23,street,1.25,1
2023,16,Japanese Grand Prix,Suzuka,Japan,20,20,5,53,52.0,2.6,6.0,4.18,48,3,27.3,42.1,42.3,1.8,0.0,False,5.807,18,permanent,2.4,0
